Analyte (CAS No.),CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)",Analyte
Acenaphthene (83-32-9),83-32-9,3600,n,45000,n,530,n,,Acenaphthene
Acephate (30560-19-1),30560-19-1,76,n,980,n,24,n,,Acephate
Acetaldehyde (75-07-0),75-07-0,82,n,340,n,19,n,,Acetaldehyde
Acetochlor (34256-82-1),34256-82-1,1300,n,16000,n,350,n,,Acetochlor
Acetone (67-64-1),67-64-1,61000,n,670000,nms,14000,n,,Acetone
Acetone Cyanohydrin (75-86-5),75-86-5,2800000,nm,12000000,nm,        ,,,Acetone Cyanohydrin
Acetonitrile (75-05-8),75-05-8,810,n,3400,n,130,n,,Acetonitrile
Acetophenone (98-86-2),98-86-2,7800,ns,120000,nms,1900,n,,Acetophenone
"Acetylaminofluorene, 2- (53-96-3)",53-96-3,14,c,60,c,1.6,c,,"Acetylaminofluorene, 2-"
Acrolein (107-02-8),107-02-8,0.14,n,0.6,n,0.042,n,,Acrolein
Acrylamide (79-06-1),79-06-1,24,c**,460,c**,5,c**,,Acrylamide
Acrylic Acid (79-10-7),79-10-7,99,n,420,n,2.1,n,,Acrylic Acid
Acrylonitrile (107-13-1),107-13-1,16,n,67,n,4.1,n,,Acrylonitrile
Adiponitrile (111-69-3),111-69-3,8500000,nm,36000000,nm,        ,,,Adiponitrile
Alachlor (15972-60-8),15972-60-8,630,n,4100,c**,110,c**,2,Alachlor
Aldicarb (116-06-3),116-06-3,63,n,820,n,20,n,3,Aldicarb
Aldicarb Sulfone (1646-88-4),1646-88-4,63,n,820,n,20,n,2,Aldicarb Sulfone
Aldicarb sulfoxide (1646-87-3),1646-87-3,        ,,        ,,        ,,4,Aldicarb sulfoxide
Aldrin (309-00-2),309-00-2,2.3,n,18,c**,0.092,c**,,Aldrin
Allyl Alcohol (107-18-6),107-18-6,3.5,n,15,n,0.21,n,,Allyl Alcohol
Allyl Chloride (107-05-1),107-05-1,1.7,n,6.9,n,2.1,n,,Allyl Chloride
Aluminum (7429-90-5),7429-90-5,77000,n,1100000,nm,20000,n,,Aluminum
Aluminum metaphosphate (13776-88-0),13776-88-0,3800000,nm,57000000,nm,970000,n,,Aluminum metaphosphate
Aluminum Phosphide (20859-73-8),20859-73-8,31,n,470,n,8,n,,Aluminum Phosphide
Ametryn (834-12-8),834-12-8,570,n,7400,n,150,n,,Ametryn
"Aminobiphenyl, 4- (92-67-1)",92-67-1,2.6,c,11,c,0.3,c,,"Aminobiphenyl, 4-"
"Aminophenol, m- (591-27-5)",591-27-5,5100,n,66000,n,1600,n,,"Aminophenol, m-"
"Aminophenol, o- (95-55-6)",95-55-6,250,n,3300,n,79,n,,"Aminophenol, o-"
"Aminophenol, p- (123-30-8)",123-30-8,1300,n,16000,n,400,n,,"Aminophenol, p-"
Amitraz (33089-61-1),33089-61-1,160,n,2100,n,8.2,n,,Amitraz
Ammonia (7664-41-7),7664-41-7,        ,,        ,,        ,,,Ammonia
Ammonium Perchlorate (7790-98-9),7790-98-9,55,n,820,n,14,n,,Ammonium Perchlorate
Ammonium polyphosphate (68333-79-9),68333-79-9,3800000,nm,57000000,nm,970000,n,,Ammonium polyphosphate
Ammonium Sulfamate (7773-06-0),7773-06-0,16000,n,230000,nm,4000,n,,Ammonium Sulfamate
"Amyl Alcohol, tert- (75-85-4)",75-85-4,82,n,340,n,6.3,n,,"Amyl Alcohol, tert-"
