Analyte (CAS No.),CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Resident Air
(ug/m3)",key,"Industrial Air
(ug/m3)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)","Risk-based
SSL
(mg/kg)",key,"MCL-based
SSL
(mg/kg)",Analyte
Acenaphthene (83-32-9),83-32-9,360,n,4500,n,        ,,        ,,53,n,,0.55,n,,Acenaphthene
Aluminum metaphosphate (13776-88-0),13776-88-0,380000,nm,5700000,nm,        ,,        ,,97000,n,,        ,n,,Aluminum metaphosphate
Ammonium Perchlorate (7790-98-9),7790-98-9,5.5,n,82,n,        ,,        ,,1.4,n,,        ,n,,Ammonium Perchlorate
Ammonium polyphosphate (68333-79-9),68333-79-9,380000,nm,5700000,nm,        ,,        ,,97000,n,,        ,n,,Ammonium polyphosphate
Anthracene (120-12-7),120-12-7,1800,n,23000,n,        ,,        ,,180,n,,5.8,n,,Anthracene
Aroclor 1016 (12674-11-2),12674-11-2,0.41,n,5.1,n,0.14,c,0.61,c,0.14,n,,0.013,n,,Aroclor 1016
Aroclor 1221 (11104-28-2),11104-28-2,0.2,c,0.83,c,0.0049,c,0.021,c,0.0047,c,,8E-05,c,,Aroclor 1221
Aroclor 1232 (11141-16-5),11141-16-5,0.17,c,0.72,c,0.0049,c,0.021,c,0.0047,c,,8E-05,c,,Aroclor 1232
Aroclor 1242 (53469-21-9),53469-21-9,0.23,c,0.95,c,0.0049,c,0.021,c,0.0078,c,,0.0012,c,,Aroclor 1242
Aroclor 1248 (12672-29-6),12672-29-6,0.23,c,0.95,c,0.0049,c,0.021,c,0.0078,c,,0.0012,c,,Aroclor 1248
Aroclor 1254 (11097-69-1),11097-69-1,0.12,n,0.97,c**,0.0049,c,0.021,c,0.0078,c**,,0.002,c**,,Aroclor 1254
Aroclor 1260 (11096-82-5),11096-82-5,0.24,c,0.99,c,0.0049,c,0.021,c,0.0078,c,,0.0055,c,,Aroclor 1260
Aroclor 5460 (11126-42-4),11126-42-4,3.5,n,44,n,        ,,        ,,1.2,n,,0.2,n,,Aroclor 5460
Benz[a]anthracene (56-55-3),56-55-3,1.1,c,21,c,0.017,c,0.2,c,0.03,c,,0.011,c,,Benz[a]anthracene
Benzo(j)fluoranthene (205-82-3),205-82-3,0.42,c,1.8,c,0.026,c,0.11,c,0.065,c,,0.078,c,,Benzo(j)fluoranthene
Benzo[a]pyrene (50-32-8),50-32-8,0.11,c*,2.1,c*,0.00021,n,0.00088,n,0.025,c*,0.2,0.029,c*,0.24,Benzo[a]pyrene
Benzo[b]fluoranthene (205-99-2),205-99-2,1.1,c,21,c,0.017,c,0.2,c,0.25,c,,0.3,c,,Benzo[b]fluoranthene
Benzo[k]fluoranthene (207-08-9),207-08-9,11,c,210,c,0.17,c,2,c,2.5,c,,2.9,c,,Benzo[k]fluoranthene
Bis(2-ethylhexyl)phthalate (117-81-7),117-81-7,39,c**,160,c*,1.2,c,5.1,c,5.6,c**,6,1.3,c**,1.4,Bis(2-ethylhexyl)phthalate
Butyl Benzyl Phthalate (85-68-7),85-68-7,290,c**,1200,c*,        ,,        ,,16,c*,,0.24,c*,,Butyl Benzyl Phthalate
Butylphthalyl Butylglycolate (85-70-1),85-70-1,6300,n,82000,n,        ,,        ,,1300,n,,31,n,,Butylphthalyl Butylglycolate
Calcium Cyanide (592-01-8),592-01-8,7.8,n,120,n,        ,,        ,,2,n,,        ,n,,Calcium Cyanide
Calcium pyrophosphate (7790-76-3),7790-76-3,380000,nm,5700000,nm,        ,,        ,,97000,n,,        ,n,,Calcium pyrophosphate
"Chloronaphthalene, Beta- (91-58-7)",91-58-7,480,n,6000,n,        ,,        ,,75,n,,0.39,n,,"Chloronaphthalene, Beta-"
Chrysene (218-01-9),218-01-9,110,c,2100,c,1.7,c,20,c,25,c,,9,c,,Chrysene
Copper Cyanide (544-92-3),544-92-3,39,n,580,n,        ,,        ,,10,n,,        ,n,,Copper Cyanide
Cyanide (CN-) (57-12-5),57-12-5,2.3,n,15,n,0.083,n,0.35,n,0.15,n,200,0.0015,n,2,Cyanide (CN-)
Cyanogen (460-19-5),460-19-5,7.8,n,120,n,        ,,        ,,2,n,,        ,n,,Cyanogen
Cyanogen Bromide (506-68-3),506-68-3,700,n,11000,n,        ,,        ,,180,n,,        ,n,,Cyanogen Bromide
Cyanogen Chloride (506-77-4),506-77-4,390,n,5800,n,        ,,        ,,100,n,,        ,n,,Cyanogen Chloride
Diammonium phosphate (7783-28-0),7783-28-0,380000,nm,5700000,nm,        ,,        ,,97000,n,,        ,n,,Diammonium phosphate
"Dibenz[a,h]anthracene (53-70-3)",53-70-3,0.11,c,2.1,c,0.0017,c,0.02,c,0.025,c,,0.096,c,,"Dibenz[a,h]anthracene"
"Dibenzo(a,e)pyrene (192-65-4)",192-65-4,0.042,c,0.18,c,0.0026,c,0.011,c,0.0065,c,,0.084,c,,"Dibenzo(a,e)pyrene"
Dibenzofuran (132-64-9),132-64-9,7.3,n,100,n,        ,,        ,,0.79,n,,0.015,n,,Dibenzofuran
Dibutyl Phthalate (84-74-2),84-74-2,630,n,8200,n,        ,,        ,,90,n,,0.23,n,,Dibutyl Phthalate
Dicalcium phosphate (7757-93-9),7757-93-9,380000,nm,5700000,nm,        ,,        ,,97000,n,,        ,n,,Dicalcium phosphate
Diethyl Phthalate (84-66-2),84-66-2,5100,n,66000,n,        ,,        ,,1500,n,,0.61,n,,Diethyl Phthalate
Dimagnesium phosphate (7782-75-4),7782-75-4,380000,nm,5700000,nm,        ,,        ,,97000,n,,        ,n,,Dimagnesium phosphate
"Dimethylbenz(a)anthracene, 7,12- (57-97-6)",57-97-6,0.00046,c,0.0084,c,1.4E-05,c,0.00017,c,0.0001,c,,9.9E-05,c,,"Dimethylbenz(a)anthracene, 7,12-"
Dimethylterephthalate (120-61-6),120-61-6,780,n,12000,n,        ,,        ,,190,n,,0.049,n,,Dimethylterephthalate
Dipotassium phosphate (7758-11-4),7758-11-4,380000,nm,5700000,nm,        ,,        ,,97000,n,,        ,n,,Dipotassium phosphate
Disodium phosphate (7558-79-4),7558-79-4,380000,nm,5700000,nm,        ,,        ,,97000,n,,        ,n,,Disodium phosphate
Fluoranthene (206-44-0),206-44-0,240,n,3000,n,        ,,        ,,80,n,,8.9,n,,Fluoranthene
Fluorene (86-73-7),86-73-7,240,n,3000,n,        ,,        ,,29,n,,0.54,n,,Fluorene
Furan (110-00-9),110-00-9,7.3,n,100,n,        ,,        ,,1.9,n,,0.00073,n,,Furan
"Heptachlorobiphenyl, 2,3,3',4,4',5,5'- (PCB 189) (39635-31-9)",39635-31-9,0.13,c**,0.52,c**,0.0025,c*,0.011,c*,0.004,c*,,0.0028,c*,,"Heptachlorobiphenyl, 2,3,3',4,4',5,5'- (PCB 189)"
"Hexachlorobiphenyl, 2,3,3',4,4',5- (PCB 156) (38380-08-4)",38380-08-4,0.12,c**,0.5,c**,0.0025,c*,0.011,c*,0.004,c*,,0.0017,c*,,"Hexachlorobiphenyl, 2,3,3',4,4',5- (PCB 156)"
"Hexachlorobiphenyl, 2,3,3',4,4',5'- (PCB 157) (69782-90-7)",69782-90-7,0.12,c**,0.5,c**,0.0025,c*,0.011,c*,0.004,c*,,0.0017,c*,,"Hexachlorobiphenyl, 2,3,3',4,4',5'- (PCB 157)"
"Hexachlorobiphenyl, 2,3',4,4',5,5'- (PCB 167) (52663-72-6)",52663-72-6,0.12,c**,0.51,c**,0.0025,c*,0.011,c*,0.004,c*,,0.0017,c*,,"Hexachlorobiphenyl, 2,3',4,4',5,5'- (PCB 167)"
"Hexachlorobiphenyl, 3,3',4,4',5,5'- (PCB 169) (32774-16-6)",32774-16-6,0.00012,c**,0.00051,c**,2.5E-06,c*,1.1E-05,c*,4E-06,c*,,1.7E-06,c*,,"Hexachlorobiphenyl, 3,3',4,4',5,5'- (PCB 169)"
"Hexachlorodibenzo-p-dioxin, Mixture ()",,0.0001,c,0.00047,c,2.2E-06,c,9.4E-06,c,1.3E-05,c,,1.7E-05,c,,"Hexachlorodibenzo-p-dioxin, Mixture"
Hydrogen Cyanide (74-90-8),74-90-8,2.3,n,15,n,0.083,n,0.35,n,0.15,n,,0.0015,n,,Hydrogen Cyanide
"Indeno[1,2,3-cd]pyrene (193-39-5)",193-39-5,1.1,c,21,c,0.017,c,0.2,c,0.25,c,,0.98,c,,"Indeno[1,2,3-cd]pyrene"
Lead acetate (301-04-2),301-04-2,64,c,270,c,0.23,c,1,c,9.2,c,,0.0018,c,,Lead acetate
Lead and Compounds (7439-92-1),7439-92-1,400,L,800,L,0.15,L,        ,,15,L,15,        ,L,14,Lead and Compounds
Lead Phosphate (7446-27-7),7446-27-7,82,c,380,c,0.23,c,1,c,9.1,c,,        ,c,,Lead Phosphate
Lead subacetate (1335-32-6),1335-32-6,64,c,270,c,0.23,c,1,c,9.2,c,,0.002,c,,Lead subacetate
Lithium Perchlorate (7791-03-9),7791-03-9,5.5,n,82,n,        ,,        ,,1.4,n,,        ,n,,Lithium Perchlorate
Mercuric Chloride (and other Mercury salts) (7487-94-7),7487-94-7,2.3,n,35,n,0.031,n,0.13,n,0.57,n,2,        ,n,,Mercuric Chloride (and other Mercury salts)
Mercury (elemental) (7439-97-6),7439-97-6,1.1,n,4.6,ns,0.031,n,0.13,n,0.063,n,2,0.0033,n,0.1,Mercury (elemental)
Methyl Mercury (22967-92-6),22967-92-6,0.78,n,12,n,        ,,        ,,0.2,n,,1.4,n,,Methyl Mercury
"Methylnaphthalene, 1- (90-12-0)",90-12-0,18,c*,73,c*,        ,,        ,,1.1,c*,,0.006,c*,,"Methylnaphthalene, 1-"
"Methylnaphthalene, 2- (91-57-6)",91-57-6,24,n,300,n,        ,,        ,,3.6,n,,0.019,n,,"Methylnaphthalene, 2-"
