Analyte,CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Resident Air
(ug/m3)",key,"Industrial Air
(ug/m3)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)","Risk-based
SSL
(mg/kg)",key,"MCL-based
SSL
(mg/kg)"
Acenaphthene,83-32-9,3.6E+03,n,4.5E+04,n,        ,,        ,,5.3E+02,n,,5.5E+00,n,        
Aluminum metaphosphate,13776-88-0,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Ammonium Perchlorate,7790-98-9,5.5E+01,n,8.2E+02,n,        ,,        ,,1.4E+01,n,,        ,n,        
Ammonium polyphosphate,68333-79-9,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
Anthracene,120-12-7,1.8E+04,n,2.3E+05,nm,        ,,        ,,1.8E+03,n,,5.8E+01,n,        
Aroclor 1016,12674-11-2,4.1E+00,n,2.7E+01,c**,1.4E-01,c,6.1E-01,c,2.2E-01,c**,,2.1E-02,c**,        
Aroclor 1221,11104-28-2,2.0E-01,c,8.3E-01,c,4.9E-03,c,2.1E-02,c,4.7E-03,c,,8.0E-05,c,        
Aroclor 1232,11141-16-5,1.7E-01,c,7.2E-01,c,4.9E-03,c,2.1E-02,c,4.7E-03,c,,8.0E-05,c,        
Aroclor 1242,53469-21-9,2.3E-01,c,9.5E-01,c,4.9E-03,c,2.1E-02,c,7.8E-03,c,,1.2E-03,c,        
Aroclor 1248,12672-29-6,2.3E-01,c,9.5E-01,c,4.9E-03,c,2.1E-02,c,7.8E-03,c,,1.2E-03,c,        
Aroclor 1254,11097-69-1,2.4E-01,c**,9.7E-01,c*,4.9E-03,c,2.1E-02,c,7.8E-03,c*,,2.0E-03,c*,        
Aroclor 1260,11096-82-5,2.4E-01,c,9.9E-01,c,4.9E-03,c,2.1E-02,c,7.8E-03,c,,5.5E-03,c,        
Aroclor 5460,11126-42-4,3.5E+01,n,4.4E+02,n,        ,,        ,,1.2E+01,n,,2.0E+00,n,        
Benz[a]anthracene,56-55-3,1.1E+00,c,2.1E+01,c,1.7E-02,c,2.0E-01,c,3.0E-02,c,,1.1E-02,c,        
Benzo(j)fluoranthene,205-82-3,4.2E-01,c,1.8E+00,c,2.6E-02,c,1.1E-01,c,6.5E-02,c,,7.8E-02,c,        
Benzo[a]pyrene,50-32-8,1.1E-01,c,2.1E+00,c,1.7E-03,c**,8.8E-03,n,2.5E-02,c,2.0E-01,2.9E-02,c,2.4E-01
Benzo[b]fluoranthene,205-99-2,1.1E+00,c,2.1E+01,c,1.7E-02,c,2.0E-01,c,2.5E-01,c,,3.0E-01,c,        
Benzo[k]fluoranthene,207-08-9,1.1E+01,c,2.1E+02,c,1.7E-01,c,2.0E+00,c,2.5E+00,c,,2.9E+00,c,        
Bis(2-ethylhexyl)phthalate,117-81-7,3.9E+01,c*,1.6E+02,c,1.2E+00,c,5.1E+00,c,5.6E+00,c*,6.0E+00,1.3E+00,c*,1.4E+00
Butyl Benzyl Phthalate,85-68-7,2.9E+02,c*,1.2E+03,c,        ,,        ,,1.6E+01,c,,2.4E-01,c,        
Butylphthalyl Butylglycolate,85-70-1,6.3E+04,n,8.2E+05,nm,        ,,        ,,1.3E+04,n,,3.1E+02,n,        
Calcium Cyanide,592-01-8,7.8E+01,n,1.2E+03,n,        ,,        ,,2.0E+01,n,,        ,n,        
Calcium pyrophosphate,7790-76-3,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
"Chloronaphthalene, Beta-",91-58-7,4.8E+03,n,6.0E+04,n,        ,,        ,,7.5E+02,n,,3.9E+00,n,        
Chrysene,218-01-9,1.1E+02,c,2.1E+03,c,1.7E+00,c,2.0E+01,c,2.5E+01,c,,9.0E+00,c,        
Copper Cyanide,544-92-3,3.9E+02,n,5.8E+03,n,        ,,        ,,1.0E+02,n,,        ,n,        
Cyanide (CN-),57-12-5,2.3E+01,n,1.5E+02,n,8.3E-01,n,3.5E+00,n,1.5E+00,n,2.0E+02,1.5E-02,n,2.0E+00
Cyanogen,460-19-5,7.8E+01,n,1.2E+03,n,        ,,        ,,2.0E+01,n,,        ,n,        
Cyanogen Bromide,506-68-3,7.0E+03,n,1.1E+05,nm,        ,,        ,,1.8E+03,n,,        ,n,        
Cyanogen Chloride,506-77-4,3.9E+03,n,5.8E+04,n,        ,,        ,,1.0E+03,n,,        ,n,        
Diammonium phosphate,7783-28-0,3.8E+06,nm,5.7E+07,nm,        ,,        ,,9.7E+05,n,,        ,n,        
"Dibenz[a,h]anthracene",53-70-3,1.1E-01,c,2.1E+00,c,1.7E-03,c,2.0E-02,c,2.5E-02,c,,9.6E-02,c,        
"Dibenzo(a,e)pyrene",192-65-4,4.2E-02,c,1.8E-01,c,2.6E-03,c,1.1E-02,c,6.5E-03,c,,8.4E-02,c,        
Dibenzofuran,132-64-9,7.3E+01,n,1.0E+03,n,        ,,        ,,7.9E+00,n,,1.5E-01,n,        
Dibutyl Phthalate,84-74-2,6.3E+03,n,8.2E+04,n,        ,,        ,,9.0E+02,n,,2.3E+00,n,        
